City_ID,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
128,tipasa,MY,2023-10-30 06:12:03,2.4312,103.8405,92,75,83.42599999999999,0.69
129,khandyga,CN,2023-10-30 06:12:03,50.2441,127.4902,4,37,32.719999999999956,3.86
130,kirensk,ES,2023-10-30 06:12:03,28.629,-17.9293,20,94,76.44200000000001,1.03
131,talcahuano,US,2023-10-30 06:12:04,35.139,-79.006,0,95,64.50800000000001,3.6
132,nguigmi,CL,2023-10-30 06:12:05,-33.0393,-71.6273,0,93,51.70999999999998,2.06
133,katsuura,RU,2023-10-30 06:12:05,62.5206,65.5964,73,81,18.23000000000004,3.7
134,cidreira,BR,2023-10-30 06:12:05,-12.7406,-60.1458,49,72,73.184,0.86
135,azuaga,,,,,,,,
136,charters towers,FO,2023-10-30 06:12:06,62.2266,-6.589,100,59,40.38800000000005,8.48
137,heroica caborca,AU,2023-10-30 06:12:07,-32.5,137.7667,4,64,59.917999999999985,9.62
138,hurricane,RU,2023-10-30 06:12:07,60.3736,120.4264,37,62,19.201999999999977,1.86
139,ormond-by-the-sea,RU,2023-10-30 06:11:58,50.4827,37.8563,43,62,58.567999999999984,6.82
140,faya-largeau,AU,2023-10-30 06:12:07,-28.7667,114.6,0,72,66.88399999999999,11.83
141,ziro,IS,2023-10-30 06:12:08,64.0049,-22.5624,75,75,41.70199999999998,5.14
142,nagqu,CL,2023-10-30 06:12:08,-25.4,-70.4833,0,69,62.24000000000002,1.91
143,margaret river,AU,2023-10-30 06:12:08,-37.65,145.5167,91,97,59.25199999999998,0.56
144,pokhara,GB,2023-10-30 06:12:09,54.868,-1.6985,75,91,47.55199999999998,4.63
145,geraldton,RU,2023-10-30 06:12:09,67.5833,63.95,52,96,1.5080000000000027,2.12
146,hawaiian paradise park,CO,2023-10-30 06:12:10,2.1019,-78.7217,100,87,78.13399999999999,4
147,coxen hole,RU,2023-10-30 06:12:10,61.0393,30.1291,89,74,39.38000000000004,2.35
148,kemer,NO,2023-10-30 06:12:10,70.0744,29.7487,40,80,25.232000000000017,6.17
149,sola,MG,2023-10-30 06:12:10,-12.2787,49.2917,43,55,86.97200000000004,8.29
150,saint-gilles-croix-de-vie,PT,2023-10-30 06:12:11,37.7333,-25.6667,20,82,63.464000000000034,1.54
151,punta arenas,RE,2023-10-30 06:12:11,-21.3585,55.7679,46,82,84.05600000000004,5.69
152,uturoa,PE,2023-10-30 06:12:11,-11.0925,-77.6267,72,91,65.91199999999995,4.38
153,ende,RU,2023-10-30 06:12:11,51.485,104.8461,27,61,32.108000000000004,1.76
154,aripuana,US,2023-10-30 06:12:12,39.1834,-84.5333,100,95,47.65999999999998,5.66
155,okhotsk,KZ,2023-10-30 06:12:12,53.0675,76.1036,100,100,34.411999999999956,2.32
156,vingt cinq,GB,2023-10-30 06:12:12,60.1545,-1.1494,21,59,44.86999999999996,11.51
157,ilha de mocambique,AO,2023-10-30 06:12:12,-14.9172,13.4925,6,17,84.61400000000003,1.22
158,marina di andora,PL,2023-10-30 06:12:13,52.2545,18.9135,70,59,60.33200000000002,5.4
159,buta,US,2023-10-30 06:12:13,64.8,-147.5333,100,91,26.74399999999997,0
160,juneau,TH,2023-10-30 06:12:14,16.25,101.0833,100,90,77.84600000000006,2.06
161,kota bharu,US,2023-10-30 06:12:14,41.1501,-82.5499,100,94,46.18399999999999,5.63
162,luderitz,AU,2023-10-30 06:12:14,-24.8667,113.6333,0,71,70.86199999999997,12.1
163,vila franca do campo,JP,2023-10-30 06:12:14,34.7,137.7333,0,67,63.28399999999999,0.45
164,luau,,,,,,,,
165,sinabang,RU,2023-10-30 06:12:15,51.1167,133.0167,100,93,33.8,3.68
166,i-n-salah,AO,2023-10-30 06:09:14,-11.7833,19.9167,92,30,91.058,1.77
167,kasongo-lunda,BR,2023-10-30 06:12:15,-20.3297,-40.2925,0,69,79.01600000000002,5.14
168,vernon,US,2023-10-30 06:12:16,35.5641,-121.0808,12,35,62.33000000000004,2.24
169,carnarvon,MG,2023-10-30 06:12:16,-17.6848,49.5087,5,56,86.25199999999998,3.87
170,vilyuchinsk,US,2023-10-30 06:12:16,22.0752,-159.319,40,88,77.59399999999997,2.06
171,avarua,CD,2023-10-30 06:12:17,-6.4667,16.8167,38,44,92.13800000000005,1.43
172,mar del plata,CA,2023-10-30 06:12:17,47.5649,-52.7093,11,65,39.056000000000026,6.26
173,masterton,SR,2023-10-30 06:12:17,4.75,-55.1667,49,89,76.00999999999999,3.34
174,adrar,ZA,2023-10-30 06:12:18,-33.5906,26.891,88,55,67.44200000000001,3.58
175,necochea,TH,2023-10-30 06:12:18,9.0302,98.9529,100,83,85.28000000000004,2.77
176,ketchikan,ID,2023-10-30 06:12:18,-9.6567,120.2641,75,75,82.04000000000002,3.73
177,waddan,GM,2023-10-30 06:12:18,13.2019,-16.7339,40,84,84.542,0
178,georgetown,CA,2023-10-30 06:12:19,49.1919,-98.1014,50,90,23.108000000000004,6.09
179,vorgashor,MW,2023-10-30 06:12:19,-14.3779,34.3332,47,34,80.65399999999995,4.54
180,conception bay south,MH,2023-10-30 06:12:19,10.2753,170.8646,100,83,82.79600000000005,9.7
181,sambalpur,US,2023-10-30 06:12:19,34.2576,-88.7034,100,60,59.377999999999965,6.71
182,moravsky krumlov,ZA,2023-10-30 06:12:19,-33.918,25.5701,30,57,64.58000000000004,8.94
183,safotu,PE,2023-10-30 06:12:20,-10.0681,-78.1522,98,90,66.55999999999997,3.98
184,ar rass,JP,2023-10-30 06:12:20,43.3236,145.575,0,65,49.33399999999999,1.75
185,concepcion del uruguay,RU,2023-10-30 06:12:20,52.2667,79.1667,100,97,42.98000000000004,1.81
186,bannu,PH,2023-10-30 06:12:20,18.3333,121.6167,76,79,79.15999999999998,3.97
187,ola,IT,2023-10-30 06:12:20,37.9222,15.7714,10,61,80.56400000000004,7.2
188,seogwipo,SK,2023-10-30 06:12:21,48.2437,18.3085,99,65,66.95600000000003,5.59
189,kerikeri,GR,2023-10-30 06:12:21,35.2,26.0986,54,74,73.13000000000005,2.76
190,utrik,FR,2023-10-30 06:12:21,45.5549,-0.8967,100,76,57.25399999999995,6.42
191,susuman,GB,2023-10-30 06:12:21,51.3813,1.3862,100,90,59.161999999999956,7.34
192,guerrero negro,NZ,2023-10-30 06:12:22,-41.1333,173.0167,100,73,56.48000000000005,1.57
193,concepcion del oro,GH,2023-10-30 06:12:22,5.0898,-1.348,15,75,84.72200000000004,2.1
194,dunedin,AR,2023-10-30 06:12:22,-27.5819,-66.3165,0,31,69.31400000000004,3.15
195,molchanovo,RU,2023-10-30 06:12:23,71.6872,128.8694,95,100,-1.7320000000000206,3.12
196,fale old settlement,IN,2023-10-30 06:12:23,25.5198,90.2201,6,76,78.87200000000004,1.01
197,mazagao,CA,2023-10-30 06:10:15,50.9832,-118.2023,13,55,33.65600000000003,0.71
198,maevatanana,CN,2023-10-30 06:12:23,50.7833,121.5167,52,36,22.351999999999975,0.84
199,saudarkrokur,RU,2023-10-30 06:12:23,62.7833,148.1667,65,97,2.2460000000000484,0.45
200,dryden,,,,,,,,
201,haiku-pauwela,MA,2023-10-30 06:12:24,29.82,-5.72,100,23,79.71799999999999,7.19
202,ebon,IR,2023-10-30 06:10:55,28.7519,54.5444,98,33,80.29399999999998,3.47
203,bayanhongor,MY,2023-10-30 06:11:01,5.4112,100.3354,20,70,87.99800000000002,3.09
204,newman,RU,2023-10-30 06:12:25,53.75,127.2667,37,53,28.75999999999998,4.3
205,ahwa,ST,2023-10-30 06:12:25,0.3365,6.7273,70,74,82.75999999999999,1.57
206,iron mountain,DZ,2023-10-30 06:12:26,22.785,5.5228,0,16,80.78000000000004,2.57
207,atar,NZ,2023-10-30 06:12:26,-45.8742,170.5036,20,88,54.067999999999984,3.13
208,ampere,ML,2023-10-30 06:12:26,16.4145,-3.6708,32,12,96.81799999999998,3.76
209,fortuna,RU,2023-10-30 06:12:27,64.75,177.4833,100,100,32.774000000000015,10.73
210,malaya vishera,CD,2023-10-30 06:12:27,-0.2167,20.8667,75,42,94.56799999999998,1.41
211,sefwi wiawso,RU,2023-10-30 06:12:27,56.3161,116.0806,8,48,17.29399999999997,0.97
212,jiangyou,TZ,2023-10-30 06:12:28,-7.6036,37.0044,99,49,88.96999999999997,2.83
213,kayenta,AU,2023-10-30 06:12:28,-37.8333,140.7667,69,89,48.524000000000015,7.37
214,miyaly,CA,2023-10-30 06:12:28,48.1446,-80.0377,100,70,29.533999999999992,1.51
215,kolwezi,PT,2023-10-30 06:12:29,37.7167,-25.4333,100,99,63.158,2.02
216,tchintabaraden,PT,2023-10-30 06:12:29,38.7333,-27.0667,99,87,60.02599999999999,2.4
217,launceston,,,,,,,,
218,tura,CN,2023-10-30 06:12:29,37.0997,79.9269,3,11,74.37200000000004,3.1
219,mossel bay,MG,2023-10-30 06:11:29,-18.7667,46.0333,20,33,89.6,1
220,hun,US,2023-10-30 06:12:31,28.017,-97.5169,94,65,50.108000000000004,9.71
